priority,title,category_hint,file_type,size_mb,recommended_action,candidate_path
1,서울대 학생들의 과탐 선택 가이드 by 스튜디오 샤 from Youtube to Gamma(PPT) 20250218,기타,pptx,7.43,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/서울대_학생들의_과탐_선택_가이드_by_스튜디오_샤_from_Youtube_to_Gamma(PPT)_20250218.pptx
2,메가스터디 조정식,기타,pptx,9.94,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/메가스터디_조정식.pptx
3,최종 DFS2024 0115 page,기타,pptx,10.31,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/최종_DFS2024_0115_page.pptx
4,(이투스) 고3 2026학년도 9월 상위누적(가채점) 밴드용 20250904,기타,xlsx,13.56,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/(이투스)_고3_2026학년도_9월_상위누적(가채점)_밴드용_20250904.xls
5,(이투스) 고3 2026학년도 9월 상위누적(가채점) 밴드용,기타,xlsx,13.57,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/(이투스)_고3_2026학년도_9월_상위누적(가채점)_밴드용.xls
6,글쓰기 지도법,기타,pptx,15.35,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/글쓰기_지도법.pptx
7,(이투스에듀) 2026 대비 경쟁률검색기 ver2,기타,xlsx,18.00,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/(이투스에듀)_2026_대비_경쟁률검색기_ver2.xlsb
8,9월 배치참고표(실채점) I 고속성장,기타,xlsx,19.75,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/9월_배치참고표(실채점)_I_고속성장.xlsx
9,IB교육의 이해,기타,pptx,23.06,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/IB교육의_이해.pptx
10,(이투스) 고3 2026학년도 9월모평 상위누적(실채점) 밴드용,기타,xlsx,24.98,주제 재평가 후 별도 아카이브/비공개 보관,/Volumes/Untitled/업로드 후보_v2/기타/(이투스)_고3_2026학년도_9월모평_상위누적(실채점)_밴드용.xls
