wave,title,category_hint,file_type,size_mb,candidate_path
wave1,2025 찾아가는 학부모 고입진로설명회 자료집(게시용),상담_학부모,pdf,7.24,/Volumes/Untitled/업로드 후보_v2/기타/2025_찾아가는_학부모_고입진로설명회_자료집(게시용).pdf
wave1,면접특강 by 상근쌤,상담_학부모,pdf,7.47,/Volumes/Untitled/업로드 후보_v2/기타/면접특강_by_상근쌤.pdf
wave1,학부모연수 2교시 김재선 학생성공시대를 실현하는 학생 선택 교육과정의 이해와 실제,상담_학부모,pdf,8.55,/Volumes/Untitled/업로드 후보_v2/기타/학부모연수_2교시_김재선_학생성공시대를_실현하는_학생_선택_교육과정의_이해와_실제.pdf
wave1,NEW 태재대학교 2026입학설명회 20251201,상담_학부모,pdf,12.19,/Volumes/Untitled/업로드 후보_v2/기타/NEW_태재대학교_2026입학설명회_20251201.pdf
wave1,초등학교 학부모 수학 가이드북(1학년2학기) (2),상담_학부모,pdf,19.74,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년2학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(3학년2학기) (2),상담_학부모,pdf,20.35,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년2학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(2학년2학기) (2),상담_학부모,pdf,20.41,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년2학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(3학년1학기) (2),상담_학부모,pdf,20.64,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년1학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(2학년1학기) (2),상담_학부모,pdf,21.03,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년1학기)_(2).pdf
wave1,2026자연계열 자연계열 제시문 면접준비,상담_학부모,pdf,23.93,/Volumes/Untitled/업로드 후보_v2/기타/2026자연계열_자연계열_제시문_면접준비.pdf
wave1,초등학교 학부모 수학 가이드북(4학년2학기) (2),상담_학부모,pdf,24.19,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년2학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(4학년1학기) (2),상담_학부모,pdf,25.00,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년1학기)_(2).pdf
wave1,초등학교 학부모 수학 가이드북(1학년1학기) (2),상담_학부모,pdf,25.79,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년1학기)_(2).pdf
wave1,학교생활기록부 작성을 위한 최종 체크리스트- 별가람고 전소영,상담_학부모,pdf,48.15,/Volumes/Untitled/업로드 후보_v2/기타/학교생활기록부_작성을_위한_최종_체크리스트-_별가람고_전소영.pdf
wave1,[당그팀]26학년도 수능 분석본,입시_진학,pdf,5.10,/Volumes/Untitled/업로드 후보_v2/기타/[당그팀]26학년도_수능_분석본.pdf
wave1,2026 미술대학 입시의 이해와 진학 준비 부산광역시교육청,입시_진학,pdf,5.11,/Volumes/Untitled/업로드 후보_v2/기타/2026_미술대학_입시의_이해와_진학_준비_부산광역시교육청.pdf
wave1,3. 2025 전남교육청 의대전략및MMI이해(제출),입시_진학,pdf,5.14,/Volumes/Untitled/업로드 후보_v2/기타/3._2025_전남교육청_의대전략및MMI이해(제출).pdf
wave1,김영일교육컨설팅 2026 수시배치표(인문1면),입시_진학,pdf,5.18,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(인문1면).pdf
wave1,2026 정시 대학별분석3 수도권대학교 책갈피 추가 by 훈선생 압축,입시_진학,pdf,5.25,/Volumes/Untitled/업로드 후보_v2/기타/2026_정시_대학별분석3_수도권대학교_책갈피_추가_by_훈선생_압축.pdf
wave1,[이즈유 경희대 진로진학 워크숍 자료해석 권정안],입시_진학,pdf,5.37,/Volumes/Untitled/업로드 후보_v2/기타/[이즈유_경희대_진로진학_워크숍_자료해석_권정안].pdf
wave1,최종 수능대비 수1수2미적 기본공식,입시_진학,pdf,5.40,/Volumes/Untitled/업로드 후보_v2/기타/최종_수능대비_수1수2미적_기본공식.pdf
wave1,(강좌3) 어디가를 활용한 진로진학설계 방안,입시_진학,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/(강좌3)_어디가를_활용한_진로진학설계_방안.pdf
wave1,(강좌3) 어디가를 활용한 진로진학설계 방안 울산광역시교육청,입시_진학,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/(강좌3)_어디가를_활용한_진로진학설계_방안_울산광역시교육청.pdf
wave1,(D강좌 1차시) 2028학년도 대입제도 개편의 이해와 준비,입시_진학,pdf,5.61,/Volumes/Untitled/업로드 후보_v2/기타/(D강좌_1차시)_2028학년도_대입제도_개편의_이해와_준비.pdf
wave1,최종 수능대비 수1수2확통 기본공식,입시_진학,pdf,6.13,/Volumes/Untitled/업로드 후보_v2/기타/최종_수능대비_수1수2확통_기본공식.pdf
wave1,쎈(SEN)진학 2026 정시 대학별분석2 국가거점국립대학교 책갈피 추가 by 훈선생,입시_진학,pdf,6.25,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2026_정시_대학별분석2_국가거점국립대학교_책갈피_추가_by_훈선생.pdf
wave1,(원고) 2026~2027 대입전형의 이해와 효율적인 지도 방안(숭의여교-정제원) (1),입시_진학,pdf,6.45,/Volumes/Untitled/업로드 후보_v2/기타/(원고)_2026~2027_대입전형의_이해와_효율적인_지도_방안(숭의여교-정제원)_(1).pdf
wave1,2026 대입 수시 합격드림 설명회 2부 상문고 박창욱선생님,입시_진학,pdf,6.56,/Volumes/Untitled/업로드 후보_v2/기타/2026_대입_수시_합격드림_설명회_2부_상문고_박창욱선생님.pdf
wave1,2024 학부모 질문·진학 Q&A 100선 요약 1장 2022 개정 교육과정 및 정책 by 세종특별자치시교육청 진로교육원 from PDF to Gamma,입시_진학,pdf,6.70,/Volumes/Untitled/업로드 후보_v2/기타/2024_학부모_질문·진학_Q&A_100선_요약_1장_2022_개정_교육과정_및_정책_by_세종특별자치시교육청_진로교육원_from_PDF_to_Gamma.pdf
wave1,김영일교육컨설팅 2026학년도 수시 배치표,입시_진학,pdf,6.81,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026학년도_수시_배치표.pdf
wave1,2026정시파노라마 인천교육청,입시_진학,pdf,6.82,/Volumes/Untitled/업로드 후보_v2/기타/2026정시파노라마_인천교육청.pdf
wave1,[인천시교육청] 2026학년도 대입 정시파노라마,입시_진학,pdf,6.82,/Volumes/Untitled/업로드 후보_v2/기타/[인천시교육청]_2026학년도_대입_정시파노라마.pdf
wave1,1 쎈(SEN)진학 2026 대입 수시 진학지도 길잡이(총론),입시_진학,pdf,6.97,/Volumes/Untitled/업로드 후보_v2/기타/1_쎈(SEN)진학_2026_대입_수시_진학지도_길잡이(총론).pdf
wave1,3 쎈(SEN)진학 2026 대입 수시 대학별 분석Ⅱ(수도권 국가거점국립대),입시_진학,pdf,7.07,/Volumes/Untitled/업로드 후보_v2/기타/3_쎈(SEN)진학_2026_대입_수시_대학별_분석Ⅱ(수도권_국가거점국립대).pdf
wave1,2. (학생학부모용) 2025 대입 수시모집 결과 및 2026 대입 수시모집의 방향,입시_진학,pdf,7.08,/Volumes/Untitled/업로드 후보_v2/기타/2._(학생학부모용)_2025_대입_수시모집_결과_및_2026_대입_수시모집의_방향.pdf
wave1,(강의1) 2028 대입개편안에 따른 진로진학설계,입시_진학,pdf,7.14,/Volumes/Untitled/업로드 후보_v2/기타/(강의1)_2028_대입개편안에_따른_진로진학설계.pdf
wave1,[고등학교][신입생]고교학점제와 학생부 차별화 전략 학남고 은동현(배포용),입시_진학,pdf,7.33,/Volumes/Untitled/업로드 후보_v2/기타/[고등학교][신입생]고교학점제와_학생부_차별화_전략_학남고_은동현(배포용).pdf
wave1,인천광역시교육청 키워드로 대비하는 학생부종합전형 26개 분야 핵심 키워드 Gamma 피상훈 소장,입시_진학,pdf,7.33,/Volumes/Untitled/업로드 후보_v2/기타/인천광역시교육청_키워드로_대비하는_학생부종합전형_26개_분야_핵심_키워드_Gamma_피상훈_소장.pdf
wave1,3. (교사용)2026 대입 수시모집 미술계열 분석과 전략,입시_진학,pdf,7.34,/Volumes/Untitled/업로드 후보_v2/기타/3._(교사용)2026_대입_수시모집_미술계열_분석과_전략.pdf
wave1,2026 알토란! 수시대박 입맞춤(기본편 in 서울권)(20240903)(완료)-2,입시_진학,pdf,7.38,/Volumes/Untitled/업로드 후보_v2/기타/2026_알토란!_수시대박_입맞춤(기본편_in_서울권)(20240903)(완료)-2.pdf
wave1,(C강좌 2차시) 2026 대입전형의 이해와 지원전략(상반기진학지도역량연수),입시_진학,pdf,7.74,/Volumes/Untitled/업로드 후보_v2/기타/(C강좌_2차시)_2026_대입전형의_이해와_지원전략(상반기진학지도역량연수).pdf
wave1,대학교육 9 대학교육지 224호 대학의 관점에서 보는 2028 대입제도 김경범 서울대학교 서어서문학과 기금교수 20240401,입시_진학,pdf,8.00,/Volumes/Untitled/업로드 후보_v2/기타/대학교육_9_대학교육지_224호_대학의_관점에서_보는_2028_대입제도_김경범_서울대학교_서어서문학과_기금교수_20240401.pdf
wave1,김영일교육컨설팅 2026 수시배치표(자연2면),입시_진학,pdf,8.05,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(자연2면).pdf
wave1,2026 체육대학 입시의 이해 및 준비 방법-부산교육청 최종(배포용),입시_진학,pdf,8.14,/Volumes/Untitled/업로드 후보_v2/기타/2026_체육대학_입시의_이해_및_준비_방법-부산교육청_최종(배포용).pdf
wave1,2025광주진로진학박람회 체육계열 설명회 강의자료 노동기 선생님 제공,입시_진학,pdf,8.50,/Volumes/Untitled/업로드 후보_v2/기타/2025광주진로진학박람회_체육계열_설명회_강의자료_노동기_선생님_제공.pdf
wave1,2026 동국대 학생부종합전형 가이드북,입시_진학,pdf,8.61,/Volumes/Untitled/업로드 후보_v2/기타/2026_동국대_학생부종합전형_가이드북.pdf
wave1,쎈(SEN)진학 2026 정시 대학별분석3 수도권대학교 책갈피 추가 by 훈선생,입시_진학,pdf,8.62,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2026_정시_대학별분석3_수도권대학교_책갈피_추가_by_훈선생.pdf
wave1,[중학교]고교학점제와 학생부 차별화 전략 학남고 은동현(배포용),입시_진학,pdf,9.06,/Volumes/Untitled/업로드 후보_v2/기타/[중학교]고교학점제와_학생부_차별화_전략_학남고_은동현(배포용).pdf
wave1,보인다 8.0 학부모 진로 진학 Q&A 100선 웹용-최종(20240930) 파트6,입시_진학,pdf,9.28,/Volumes/Untitled/업로드 후보_v2/기타/보인다_8.0_학부모_진로_진학_Q&A_100선_웹용-최종(20240930)_파트6.pdf
wave1,고교 학점제& 학생부 전략 by smart 상근쌤(배포용),입시_진학,pdf,9.33,/Volumes/Untitled/업로드 후보_v2/기타/고교_학점제&_학생부_전략_by_smart_상근쌤(배포용).pdf
